game_date,pitcher,batter,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,balls,strikes,outs_when_up,inning,inning_topbot,on_1b,on_2b,on_3b,bat_score,fld_score,stand,p_throws,home_team,away_team,at_bat_number,pitch_number
2025-10-05,680755,519317,FF,96.5,2330,-0.36,1.45,-0.7588861392116442,4.159844707719074,2,1,2,6,Top,700250,,,2,12,R,R,TOR,NYY,52,4
2025-10-05,680755,519317,FF,96.9,2350,-0.31,1.54,0.599175743043399,4.588981718655089,1,1,2,6,Top,700250,,,2,12,R,R,TOR,NYY,52,3
2025-10-05,680755,519317,SL,88.2,2312,0.03,0.33,0.7641215600184548,1.6551731712382418,1,0,2,6,Top,700250,,,2,12,R,R,TOR,NYY,52,2
2025-10-05,680755,519317,CU,83.0,2570,0.0,-1.18,-0.1620945302887806,0.8226410505827122,0,0,2,6,Top,700250,,,2,12,R,R,TOR,NYY,52,1
2025-10-05,677865,700250,SI,90.8,2234,1.18,0.28,0.6057458648529608,2.713074848557548,0,0,2,6,Top,,,,2,12,L,L,TOR,NYY,51,1
2025-10-05,677865,641355,ST,79.1,2677,-1.61,-0.41,0.4386665192419472,2.316897216941154,0,2,2,6,Top,,592450,,0,12,L,L,TOR,NYY,50,3
2025-10-05,677865,641355,SI,90.9,2134,1.35,0.16,-0.2366099067371243,1.9751964420220176,0,1,2,6,Top,,592450,,0,12,L,L,TOR,NYY,50,2
2025-10-05,677865,641355,ST,77.7,2656,-1.36,-0.54,-0.085892917530947,1.951371268225481,0,0,2,6,Top,592450,,,0,12,L,L,TOR,NYY,50,1
2025-10-05,677865,592450,ST,78.0,2569,-1.78,-0.25,-0.1250634565204076,1.8347886038041192,2,2,2,6,Top,,,,0,12,R,L,TOR,NYY,49,5
2025-10-05,677865,592450,FC,87.8,2469,-0.21,0.35,0.1559649518752702,4.023695794971908,2,1,2,6,Top,,,,0,12,R,L,TOR,NYY,49,4
2025-10-05,677865,592450,FC,88.5,2464,-0.27,0.48,-1.1602229912735351,1.6639792420313704,1,1,2,6,Top,,,,0,12,R,L,TOR,NYY,49,3
2025-10-05,677865,592450,ST,77.4,2666,-1.62,-0.22,-0.6643010422613709,2.495801795460447,1,0,2,6,Top,,,,0,12,R,L,TOR,NYY,49,2
2025-10-05,677865,592450,SI,90.4,2070,1.42,0.31,0.2610045784120263,1.6990101784405502,0,0,2,6,Top,,,,0,12,R,L,TOR,NYY,49,1
2025-10-05,677865,663757,ST,79.1,2657,-1.67,-0.14,-0.6369106912047375,2.2821385692825764,0,2,1,6,Top,,,,0,12,L,L,TOR,NYY,48,3
2025-10-05,677865,663757,ST,78.4,2675,-1.84,-0.21,-0.2641460202356143,2.3875312982487285,0,1,1,6,Top,,,,0,12,L,L,TOR,NYY,48,2
2025-10-05,677865,663757,FC,88.1,2476,-0.13,0.73,0.1079093366831473,2.174319933898402,0,0,1,6,Top,,,,0,12,L,L,TOR,NYY,48,1
2025-10-05,702056,669224,FS,82.5,1621,-0.98,0.26,-0.5024141559436922,2.3470774331946225,0,1,0,6,Top,,,,0,12,L,R,TOR,NYY,47,2
2025-10-05,702056,669224,FS,82.6,1732,-1.2,0.65,-0.0468097709788613,1.6506252791592422,0,0,0,6,Top,,,,0,12,L,R,TOR,NYY,47,1
2025-10-05,701542,676914,FF,93.7,2722,-0.4,1.31,-0.1842268955419785,3.851307343046477,3,2,2,5,Bot,,,,12,0,R,R,TOR,NYY,46,7
2025-10-05,701542,676914,SI,94.3,2615,-1.48,0.26,0.7855475480267191,3.2142474281377353,2,2,2,5,Bot,,,,12,0,R,R,TOR,NYY,46,6
2025-10-05,701542,676914,ST,85.0,3018,1.3,0.03,1.595125641493488,1.979729746611261,1,2,2,5,Bot,,,,12,0,R,R,TOR,NYY,46,5
2025-10-05,701542,676914,FF,93.4,2632,-0.71,1.3,0.2265602383166757,2.6674040111977395,1,2,2,5,Bot,,,,12,0,R,R,TOR,NYY,46,4
2025-10-05,701542,676914,CU,83.1,2816,0.63,-0.86,0.356611329837358,1.6563145259268437,1,1,2,5,Bot,,,,12,0,R,R,TOR,NYY,46,3
2025-10-05,701542,676914,ST,85.4,3038,1.37,0.34,2.3510339962671756,0.8962365201074065,0,1,2,5,Bot,,,,12,0,R,R,TOR,NYY,46,2
2025-10-05,701542,676914,FF,93.2,2624,-0.54,1.34,0.8775300963013001,2.894462751927367,0,0,2,5,Bot,,,,12,0,R,R,TOR,NYY,46,1
2025-10-05,701542,543807,SI,93.6,2415,-1.37,0.65,-0.6341336084060853,2.3156799006517472,0,0,2,5,Bot,,,,11,0,R,R,TOR,NYY,45,1
2025-10-05,701542,664702,FF,94.6,2637,-0.61,1.4,0.0076327734821161,3.2988109192451898,2,2,1,5,Bot,,,,11,0,R,R,TOR,NYY,44,5
2025-10-05,701542,664702,FF,93.3,2619,-0.52,1.4,0.2484322913215553,2.8736480366619075,2,1,1,5,Bot,,,,11,0,R,R,TOR,NYY,44,4
2025-10-05,701542,664702,ST,81.7,2912,1.37,-0.04,-1.7936839962226676,3.173571882729162,1,1,1,5,Bot,,,,11,0,R,R,TOR,NYY,44,3
2025-10-05,701542,664702,SI,93.1,2436,-1.53,0.44,-0.210060543543064,2.893021740168188,1,0,1,5,Bot,,,,11,0,R,R,TOR,NYY,44,2
2025-10-05,701542,664702,SI,91.9,2334,-1.34,0.41,-0.0140443778379171,3.880811368042953,0,0,1,5,Bot,,,,11,0,R,R,TOR,NYY,44,1
2025-10-05,701542,665926,ST,82.6,3066,1.62,-0.18,0.2102535950913304,2.7948629871432993,0,0,0,5,Bot,,,,11,0,L,R,TOR,NYY,43,1
2025-10-05,702056,683011,FS,84.7,1587,-1.14,0.71,-0.4820696392170887,0.8218207230434893,1,2,2,5,Top,665862,,,0,11,R,R,TOR,NYY,42,4
2025-10-05,702056,683011,FS,84.4,1462,-0.95,0.8,-0.945344918586476,3.2318818317060956,0,2,2,5,Top,665862,,,0,11,R,R,TOR,NYY,42,3
2025-10-05,702056,683011,FF,94.6,2266,-0.43,1.58,0.6041465746948987,2.395169658324314,0,1,2,5,Top,665862,,,0,11,R,R,TOR,NYY,42,2
2025-10-05,702056,683011,SL,89.9,2140,-0.76,0.37,-0.9763654748974028,1.4764735731035217,0,0,2,5,Top,665862,,,0,11,R,R,TOR,NYY,42,1
2025-10-05,702056,641857,FS,84.0,1440,-1.09,0.06,-0.315505848871357,2.605260780851807,1,2,1,5,Top,665862,,,0,11,L,R,TOR,NYY,41,5
